City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,verkhnyaya inta,65.9811,60.3094,-1.05,98,99,6.53,RU,1675720860
348,kang,-23.6752,22.7876,73.09,63,53,4.97,BW,1675720861
349,merano,46.6682,11.1595,36.75,93,99,2.48,IT,1675720861
350,manta,-0.95,-80.7333,82.18,74,40,8.05,EC,1675720865
351,leshukonskoye,64.8989,45.7622,-0.18,99,86,4.92,RU,1675720868
352,zhuhai,22.2769,113.5678,67.86,94,40,2.3,CN,1675720812
353,sinjai,-5.1241,120.253,74.71,79,98,3.98,ID,1675720882
354,evans,33.5337,-82.1307,66.58,36,0,2.64,US,1675720886
355,ugoofaaru,5.6667,73.0,80.28,76,100,8.75,MV,1675720888
356,verkhnevilyuysk,63.4453,120.3167,-39.15,99,98,0.67,RU,1675720889
357,preston,53.7667,-2.7167,41.9,88,42,4.45,GB,1675720891
358,komsomolskiy,40.4272,71.7189,34.52,93,52,4.61,UZ,1675720892
359,pangai,-19.8,-174.35,75.31,83,75,6.91,TO,1675720893
360,ostrovnoy,68.0531,39.5131,20.82,88,100,24.2,RU,1675720893
361,moron,-34.6534,-58.6198,91.94,38,0,8.3,AR,1675720894
362,korla,41.7597,86.1469,31.64,60,100,0.85,CN,1675720895
